,name,price,status,camera,processor,storage,battery,ram,display
31,Xiaomi Redmi K60,"74,999",Upcoming,48Mp Camera,Dimensity 8200 Processor,128GB/256GB/512GB Internal Storage,5500mAh Li-Po Battery,8GB/12GB Memory (RAM),"6.67"" 1440x3200 pixels Display"
32,Infinix Zero 2023,"54,999",Upcoming,50MP Camera,Dimensity 1080 Processor,256GB Internal Storage,5000mAh Li-Po Battery,8GB Memory (RAM),"6.78"" 1080x2460 pixels Display"
33,OnePlus Nord CE 3,"72,999",Upcoming,108MP Camera,Snapdragon 695 5G Processor,128GB/256GB Internal Storage,5000mAh Li-Po Battery,8GB/12GB Memory (RAM),"6.7"" 1080x2400 pixels Display"
34,Vivo Y22s,"42,999",Upcoming,50MP Camera,Snapdragon 680 4G Processor,128GB Internal Storage,5000mAh Li-Po Battery,6GB/8GB Memory (RAM),"6.55"" 720x1612 pixels Display"
35,Vivo Y22,"38,999",Upcoming,50MP Camera,Helio G85 Processor,64GB/128GB Internal Storage,5000mAh Li-Po Battery,4GB/6GB Memory (RAM),"6.55"" 720x1612 pixels Display"
36,Xiaomi Redmi 11A,"27,999",Upcoming,50MP Camera,,32GB/64GB/128GB/256GB Internal Storage,5000mAh Li-Ion Battery,2GB/3GB/4GB/6GB Memory (RAM),"6.7"" 720x1650 pixels Display"
37,Realme 10 Pro Plus,"82,999",Upcoming,108MP Camera,Dimensity 1080 Processor,128GB/256GB Internal Storage,5000mAh Li-Po Battery,8GB/12GB Memory (RAM),"6.7"" 1080x2400 pixels Display"
38,Realme 10 Pro,"65,999",,108MP Camera,Snapdragon 695 5G Processor,128GB/256GB Internal Storage,5000mAh Li-Po Battery,6GB/8GB/12GB Memory (RAM),"6.72"" 1080x2400 pixels Display"
39,Oppo A1 Pro,"73,999",Upcoming,108MP Camera,Snapdragon 695 5G Processor,128GB/256GB Internal Storage,5000mAh Li-Po Battery,6GB/8GB Memory (RAM),"6.7"" 1080x2400 pixels Display"
40,vivo X90 Pro Plus,"204,999",Upcoming,64MP Camera,Snapdragon 8 Gen 2 Processor,256GB/512GB Internal Storage,4700mAh Li-Po Battery,8GB/12GB Memory (RAM),"6.78"" 1440x3200 pixels Display"
41,Itel A17,"9,999",Upcoming,Selfie Al/ Dual Camera Camera,Not announced yet Processor,16GB Internal Storage,2400 mAh Battery,1GB Memory (RAM),5 Display
42,Itel A27,"15,999",Upcoming,Selfie Al/ Dual Camera Camera,Not announced yet Processor,32GB Internal Storage,4000 mAh Battery,2GB Memory (RAM),5.5 IPS Display
43,Itel Vision 3,"19,499",Upcoming,Selfie Al/ Dual Camera Camera,Not announced yet Processor,32GB/64GB Internal Storage,5000 mAh Battery,2GB/3GB Memory (RAM),6.6 HD+ Display
44,itel A49,"18,499",Upcoming,Yes Camera,Not announced yet Processor,32GB Internal Storage,4000 mAh Battery,2GB Memory (RAM),6.6 inches Display
45,itel A23 Pro,"10,499",Upcoming,Selfie / Single Camera Camera,Not announced yet Processor,8GB Internal Storage,2400 mAh Battery,1GB Memory (RAM),5.0 inches Display
46,Xiaomi Redmi Note 9T,"34,999",Upcoming,48MP Camera,Dimensity 800U Processor,64GB/128GB Internal Storage,5000mAh Li-Po Battery,4GB/6GB Memory (RAM),"6.53"" 1080x2340 pixels Display"
47,Realme Y31,"40,999",Available,48MP Camera,Snapdragon 662 Processor,64GB/128GB Internal Storage,5000mAh Li-Po Battery,4GB/6GB/8GB Memory (RAM),"6.58"" 1080x2408 pixels Display"
48,Honor V40 5G,"99,999",Available,50MP Camera,Dimensity 1000+ Processor,128GB/256GB Internal Storage,4000mAh Li-Po Battery,8GB Memory (RAM),"6.72"" 1236x2676 pixels Display"
49,Oppo A17k,"29,999",Upcoming,8MP Camera,Helio G35 Processor,64GB Internal Storage,5000mAh Li-Po Battery,3GB Memory (RAM),"6.56"" 720x1612 pixels Display"
